KnowledgeSourceId,SourceName,Suggestion
"8c114b12-96c3-f011-8544-000d3acb65c0","Business service knowledge base","{""siteId"":""2b49ad7d-2b38-40ca-abe2-dd0860261371""}"
"cb102b37-cdc3-f011-8544-000d3acb65c0","Learn 365 knowledge base","{""siteId"":""ed348921-fe9d-47d1-b08e-f5a124050a40""}"
"cd102b37-cdc3-f011-8544-000d3acb65c0","Business services knowledge documents","{""siteId"":""2b49ad7d-2b38-40ca-abe2-dd0860261371""}"
"d7102b37-cdc3-f011-8544-000d3acb65c0","Finance knowledge documents","{""siteId"":""e35b9249-396e-423c-ac19-229856b263ef""}"
"d8102b37-cdc3-f011-8544-000d3acb65c0","Human resources knowledge documents","{""siteId"":""80587276-a6b3-4c9a-967d-d56da672c54c""}"
"c0cd383d-cdc3-f011-8544-000d3acb65c0","Learn 365 knowledge documents","{""siteId"":""ed348921-fe9d-47d1-b08e-f5a124050a40""}"
"59a88f16-d4c3-f011-8544-000d3acb65c0","Projects knowledge base","{""siteId"":""a652b355-f9f6-4e16-8e50-178c848ae1a8""}"
"8a457f89-30c4-f011-8544-000d3acb65c0","Projects hub knowledge documents","{""host"":""365evergreen.sharepoint.com"",""siteUrl"":""https://365evergreen.sharepoint.com/sites/projectshub""}"
"98348bec-37c4-f011-8544-000d3acb65c0","Policies and procedures knowledge base","{""host"":""365evergreen.sharepoint.com"",""siteUrl"":""https://365evergreen.sharepoint.com/sites/PandP""}"
"5e86c017-3ac4-f011-8544-000d3acb65c0","Policies and procedures","{""host"":""365evergreen.sharepoint.com"",""siteUrl"":""https://365evergreen.sharepoint.com/sites/PandP""}"
